datetime,pm10,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2025-11-20 04:00:00,11.068,0.4,77,0.0,15.2
2025-11-20 05:00:00,15.003,0.3,83,0.0,16.3
2025-11-20 06:00:00,12.101,0.9,84,0.0,17.4
2025-11-20 07:00:00,8.426,1.0,84,0.0,18.3
2025-11-20 08:00:00,11.751,0.6,86,0.0,18.0
2025-11-20 09:00:00,16.38,1.5,81,0.0,19.3
2025-11-20 10:00:00,21.252,2.5,79,0.0,19.8
2025-11-20 11:00:00,21.177,3.0,75,0.0,24.4
2025-11-20 12:00:00,18.104,2.2,83,0.2,19.6
2025-11-20 14:00:00,9.535,1.0,90,0.2,17.9
2025-11-20 15:00:00,7.49,0.5,94,0.3,17.1
2025-11-20 16:00:00,6.763,0.6,93,0.1,14.9
2025-11-20 17:00:00,1.914,0.2,91,0.0,14.5
2025-11-20 18:00:00,10.471,-0.6,90,0.0,12.4
2025-11-20 19:00:00,14.991,-1.2,92,0.0,9.2
2025-11-20 20:00:00,11.893,-0.6,87,0.0,8.7
2025-11-20 21:00:00,12.472,-1.3,89,0.0,5.6
2025-11-20 22:00:00,6.842,-2.0,90,0.0,4.7
2025-11-20 23:00:00,10.244,-2.7,90,0.0,5.4
2025-11-21 00:00:00,10.365,-3.4,91,0.0,5.6
2025-11-21 01:00:00,11.047,-3.5,89,0.0,5.1
2025-11-21 02:00:00,11.8,-3.8,89,0.0,2.8
2025-11-21 03:00:00,11.73,-4.0,90,0.0,2.3
2025-11-21 04:00:00,12.059,-4.0,91,0.0,2.2
2025-11-21 05:00:00,10.109,-4.0,92,0.0,2.7
2025-11-21 06:00:00,9.144,-3.8,92,0.0,2.7
2025-11-21 07:00:00,11.868,-4.4,92,0.0,3.2
2025-11-21 08:00:00,14.398,-4.7,92,0.0,3.6
2025-11-21 10:00:00,19.402,-2.2,81,0.0,7.4
2025-11-21 11:00:00,24.043,-1.8,74,0.0,8.6
2025-11-21 12:00:00,25.504,-1.2,68,0.0,6.9
2025-11-21 13:00:00,19.529,-1.9,76,0.0,7.2
2025-11-21 14:00:00,14.033,-1.6,70,0.0,6.5
2025-11-21 15:00:00,11.202,-1.8,70,0.0,6.9
2025-11-21 16:00:00,13.91,-3.2,79,0.0,5.6
2025-11-21 17:00:00,18.657,-5.1,87,0.0,5.5
2025-11-21 18:00:00,16.353,-4.4,86,0.0,2.7
2025-11-21 19:00:00,16.28,-3.4,88,0.0,5.5
2025-11-21 20:00:00,24.728,-2.8,85,0.0,5.9
2025-11-21 21:00:00,30.249,-2.7,83,0.0,5.5
2025-11-21 22:00:00,31.469,-2.8,83,0.0,4.9
2025-11-21 23:00:00,37.677,-3.0,84,0.0,4.7
2025-11-22 00:00:00,38.069,-3.2,86,0.0,5.4
2025-11-22 01:00:00,34.105,-4.0,93,0.0,5.6
2025-11-22 02:00:00,30.527,-4.7,94,0.0,5.4
2025-11-22 03:00:00,25.034,-5.4,94,0.0,5.1
2025-11-22 04:00:00,24.492,-5.6,94,0.0,5.0
2025-11-22 05:00:00,24.401,-5.2,94,0.0,5.4
2025-11-22 06:00:00,24.123,-5.0,94,0.0,5.7
2025-11-22 07:00:00,23.331,-5.1,91,0.0,7.9
2025-11-22 08:00:00,21.374,-5.4,93,0.0,6.8
2025-11-22 09:00:00,23.732,-4.7,86,0.0,7.3
2025-11-22 10:00:00,19.844,-3.2,75,0.0,5.9
2025-11-22 11:00:00,24.626,-2.0,68,0.0,5.0
2025-11-22 12:00:00,22.054,-1.2,63,0.0,4.3
2025-11-22 13:00:00,21.36,-1.4,76,0.0,5.4
2025-11-22 14:00:00,15.398,-0.9,70,0.0,5.2
2025-11-22 15:00:00,15.558,-1.2,68,0.0,4.9
2025-11-22 16:00:00,19.929,-2.8,76,0.0,0.7
2025-11-22 17:00:00,19.603,-4.2,81,0.0,2.5
2025-11-22 18:00:00,14.128,-4.9,84,0.0,5.9
2025-11-22 19:00:00,23.632,-4.9,84,0.0,5.8
2025-11-22 20:00:00,28.486,-5.8,83,0.0,5.5
2025-11-22 22:00:00,33.787,-6.3,85,0.0,6.7
2025-11-22 23:00:00,19.521,-6.6,84,0.0,6.9
2025-11-23 00:00:00,28.041,-6.8,83,0.0,6.6
2025-11-23 01:00:00,26.559,-5.8,69,0.0,8.0
2025-11-23 02:00:00,25.495,-6.8,69,0.0,7.0
2025-11-23 03:00:00,23.256,-7.2,65,0.0,7.4
2025-11-23 04:00:00,17.138,-7.8,63,0.0,7.4
2025-11-23 05:00:00,17.587,-8.4,64,0.0,6.8
2025-11-23 06:00:00,15.867,-8.4,63,0.0,7.9
2025-11-23 07:00:00,2.121,-8.4,65,0.0,9.0
2025-11-23 08:00:00,11.376,-8.2,62,0.0,9.2
2025-11-23 09:00:00,8.99,-5.9,47,0.0,9.4
2025-11-23 10:00:00,11.024,-3.0,37,0.0,6.1
2025-11-23 11:00:00,14.104,-0.5,26,0.0,6.6
